company_num,company_name,obs_date,comp_dissolved_date,company_status_modelled,label_modelled,model_risk_score,model_predicted_tier,company_status_now,actually_dissolved_now,outcome_agreement,company_age_years,nace_section_label,split
659669,MADISON FINANCIAL DESIGNATED ACTIVITY COMPANY,2022-12-31,2024-07-01,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,3.17,Unknown,train
655705,CUBE LOGISTICS FREIGHT FORWARDING LIMITED,2022-12-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,3.36,Unknown,train
657133,AERDRAGON MSN4207 LEASING LIMITED,2022-12-31,2024-05-27,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,3.29,Unknown,train
658020,AMBER ROW LIMITED,2022-12-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,3.25,Unknown,train
659744,SITEDOCSMANAGER LIMITED,2022-12-31,2024-10-14,Dissolved,1.0,0.5365,MODERATE,Dissolved,1,consistent,3.17,Unknown,train
661471,HDMR IRL LIMITED,2022-05-27,2024-02-19,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,2.5,Unknown,train
671658,GREENIDO LIMITED,2022-05-31,2022-11-01,Dissolved,1.0,1.0,CRITICAL,Dissolved,1,consistent,1.99,Unknown,train
672157,MC TOP DEVELOPMENTS LIMITED,2022-05-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,1.97,Unknown,train
673028,CUBE LOGISTICS 3PL LIMITED,2022-12-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,2.51,Unknown,train
673071,ZULX GROUP LIMITED,2022-05-31,2023-07-08,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,1.92,Unknown,train
677579,GLOW CIRCLE LIMITED,2022-12-31,2024-03-19,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,2.31,Unknown,train
678324,INFINE CONSULTANTS LIMITED,2022-03-24,2022-09-12,Dissolved,1.0,0.9747,CRITICAL,Dissolved,1,consistent,1.49,Unknown,train
686049,CAFFEINE@HOME  LIMITED,2022-02-28,2023-11-04,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,1.11,Unknown,train
686143,MIHAILOV SERVICES LIMITED,2022-12-31,2024-04-08,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,1.94,Unknown,train
152813,EVENT IRELAND LIMITED,2022-12-31,2024-10-29,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,33.05,Extraterritorial Organisations,train
