company_num,director_dissolution_count,director_max_dissolutions
076941,0,0
368047,0,0
256796,0,0
342235,0,0
471706,0,0
686775,0,0
012965,0,0
602527,0,0
054858,0,0
543654,0,0
607515,0,0
469272,0,0
684753,1,1
336884,0,0
604607,0,0
191034,0,0
104547,0,0
249885,0,0
016956,0,0
158973,0,0
060709,0,0
519550,0,0
699170,0,0
378557,0,0
554725,0,0
679064,0,0
092815,0,0
475616,0,0
751880,0,0
660412,0,0
070576,0,0
606201,0,0
145835,0,0
606203,0,0
589659,0,0
615709,0,0
111471,0,0
259755,0,0
528478,0,0
403110,0,0
402208,0,0
753621,0,0
482042,0,0
494646,2,2
334821,0,0
609414,0,0
631711,0,0
442017,0,0
477441,0,0
521800,0,0
415665,0,0
540406,0,0
105820,0,0
595593,0,0
514125,0,0
641800,0,0
461022,0,0
047371,0,0
013460,0,0
536025,0,0
399192,0,0
471344,0,0
129933,0,0
527370,0,0
284248,0,0
605257,0,0
019542,0,0
562693,0,0
541507,0,0
711672,1,1
711673,1,1
367331,0,0
513130,0,0
554724,0,0
607465,0,0
462612,0,0
467751,0,0
512080,0,0
317984,0,0
007246,0,0
008149,0,0
381811,0,0
002079,0,0
536539,0,0
677764,0,0
500060,0,0
501098,0,0
727847,0,0
545430,0,0
341156,0,0
502558,0,0
526358,0,0
585702,0,0
499501,0,0
101619,0,0
170116,0,0
387390,0,0
534814,0,0
523985,0,0
705127,0,0
359984,0,0
614957,0,0
623936,2,1
294035,0,0
429847,0,0
426261,0,0
007336,0,0
227552,2,2
631135,0,0
354158,1,1
522227,0,0
064716,0,0
376554,0,0
552285,0,0
560279,0,0
483483,0,0
527606,0,0
527605,0,0
496108,0,0
319160,0,0
455648,0,0
196409,0,0
638962,0,0
264023,0,0
304873,0,0
241278,0,0
020469,0,0
213232,0,0
625558,3,2
383466,0,0
322865,0,0
707556,0,0
316537,0,0
361394,0,0
488248,0,0
530363,0,0
046423,0,0
310821,0,0
306035,0,0
428329,0,0
570078,0,0
498284,0,0
275423,0,0
549688,1,1
194360,0,0
052881,0,0
657792,2,1
512352,0,0
130807,1,1
405077,0,0
008209,0,0
534474,0,0
395190,0,0
393931,0,0
520982,0,0
587590,0,0
276094,0,0
470093,0,0
351144,1,1
677287,0,0
463078,0,0
616661,0,0
270069,0,0
742223,0,0
355871,0,0
457490,0,0
533586,0,0
264562,0,0
415123,0,0
639182,0,0
526505,2,1
650166,2,1
338522,0,0
436954,0,0
009401,0,0
410477,0,0
286310,0,0
575350,0,0
079512,1,1
531768,0,0
143888,0,0
376095,0,0
446622,0,0
464758,0,0
667181,0,0
098788,0,0
326967,0,0
182294,0,0
462494,0,0
574123,0,0
438336,0,0
448848,0,0
631799,0,0
652461,0,0
479237,0,0
132781,0,0
571875,1,1
408507,0,0
343414,0,0
369983,0,0
600292,0,0
022045,0,0
609461,0,0
552564,0,0
337946,0,0
367763,0,0
683424,2,1
210033,0,0
662346,0,0
231248,0,0
758389,0,0
344312,0,0
656122,0,0
635755,0,0
373915,0,0
612228,0,0
405470,0,0
159355,0,0
491049,0,0
751412,0,0
615469,0,0
723562,0,0
483892,0,0
695895,0,0
698665,0,0
730468,0,0
566401,0,0
422309,0,0
548294,0,0
307500,0,0
535698,1,1
004956,0,0
030076,0,0
223142,0,0
593885,0,0
348351,0,0
595997,0,0
731366,0,0
499992,0,0
503809,3,3
181390,0,0
190265,1,1
676739,0,0
132776,0,0
368093,0,0
390854,0,0
393838,0,0
051336,0,0
212757,0,0
407862,0,0
623909,0,0
338585,0,0
675834,0,0
480947,0,0
542626,0,0
378922,0,0
233354,0,0
632597,0,0
324172,0,0
647552,0,0
655130,0,0
477941,0,0
758388,0,0
175102,0,0
272391,0,0
491051,0,0
346913,0,0
351403,0,0
648231,2,1
352581,0,0
372645,0,0
407588,0,0
119570,0,0
677409,0,0
119571,0,0
693777,0,0
471445,0,0
