term,idx,idf
cti,145,3.8592866957666714
ic ,224,4.922381732891422
ood,363,5.000341243324868
sto,435,5.0688467853674775
ck ,136,4.9686763286809
 li,54,4.424870474810168
lim,277,4.678930272008268
imi,234,4.723564137114043
mit,295,5.055880919569651
ite,263,4.731976904781485
ted,446,5.123194385441019
ed ,161,4.835420456102204
 lim,55,4.915641144158179
limi,278,4.9035476629407775
imit,235,4.982067440399307
mite,296,4.0250721427245235
ited,264,5.032538179952455
ted ,447,5.09986044738811
 limi,56,4.776499260205245
limit,279,2.6225583969853297
imite,236,3.37393861673914
mited,297,3.481452743191389
ited ,265,3.666756489239559
 tr,82,3.9803486945827835
tru,473,3.939928714358789
le ,275,5.056997998096126
 fa,32,5.110143778129017
ast,121,4.869046487732058
st ,429,4.914149385844693
 sa,69,5.0892377186206
and,103,4.2842248550885085
se ,419,5.18710844607379
 pr,64,4.891088725673148
pro,385,4.522619083242906
rop,406,4.835902798919479
ope,364,4.778514669007584
per,377,4.871043350469477
ert,191,4.980552952843479
rti,411,4.983344579781075
tie,455,4.932730429697838
ies,230,5.154451303293072
es ,195,4.03069419098839
 pro,65,4.604098808218854
prop,386,4.701630761210934
rope,407,3.522762550193748
oper,365,4.539642284539408
pert,378,4.561507307715371
ies ,231,4.580065031859498
 prop,66,4.5877254416246895
prope,387,4.387206305389485
roper,408,4.723995423895627
opert,366,4.737645818888467
 ir,49,5.092172227862625
 me,61,5.128167229283108
ers,189,1.0467832633882517
ey ,206,1.0474864944598157
ine,239,1.0476112877710562
nee,317,3.692739863424477
ee ,162,4.4570953822145984
inee,240,4.657540640498059
eri,183,5.1624444945802805
ric,398,4.695802293456747
ica,225,4.736147597745491
an ,97,4.677929300393499
 co,19,3.816730325746826
con,140,4.048536265685792
ons,356,4.914447559533074
nsu,328,4.320607202438946
sul,439,5.018458720482589
ult,485,4.910132718736596
lti,286,3.7760784822584106
tin,456,4.0734319724439425
ing,241,4.089247190110903
ng ,320,5.140989108926488
 con,22,4.418857063221992
cons,141,4.531221504473319
onsu,360,5.147556352718949
nsul,329,4.581560359240932
sult,440,4.668207408302253
ting,457,4.877920168401046
ing ,242,4.988549796738884
 cons,23,5.1398676134818375
consu,143,4.103591900632717
onsul,361,4.431656067762299
nsult,330,5.103726837134739
ting ,458,4.998393348869176
cor,144,5.06710825919941
