company_num,company_name,combined_risk_tier,n_filing_events,filing_narrative,combined_text
286938,SWEDENCARE IRELAND LIMITED,BEHAVIORAL_ANOMALY,81,"SWEDENCARE IRELAND LIMITED has filed with the registry since 1998. Across its history: 29 annual returns, 19 director or secretary changes, 4 registered office changes, 3 auditor resignations. In the 8 years to 2024 the filing sequence was: 2016: annual return; ordinary resolution; director or secretary change; director or secretary change; special resolution; 2017: annual return; director or secretary change; director or secretary change; 2018: director or secretary change; annual return; registered office change; 2019: annual return; director or secretary change; director or secretary change; 2020: annual return; 2021: annual return; 2022: director or secretary change; annual return; 2023: annual return; 2024: other filing; other filing; director or secretary change; annual return; 2025: annual return; 2026: annual return.","SWEDENCARE IRELAND LIMITED has filed with the registry since 1998. Across its history: 29 annual returns, 19 director or secretary changes, 4 registered office changes, 3 auditor resignations. In the 8 years to 2024 the filing sequence was: 2016: annual return; ordinary resolution; director or secretary change; director or secretary change; special resolution; 2017: annual return; director or secretary change; director or secretary change; 2018: director or secretary change; annual return; registered office change; 2019: annual return; director or secretary change; director or secretary change; 2020: annual return; 2021: annual return; 2022: director or secretary change; annual return; 2023: annual return; 2024: other filing; other filing; director or secretary change; annual return; 2025: annual return; 2026: annual return. SWEDENCARE IRELAND LIMITED has filed with the registry since 1998. Across its history: 29 annual returns, 19 director or secretary changes, 4 registered office changes, 3 auditor resignations. In the 8 years to 2024 the filing sequence was: 2016: annual return; ordinary resolution; director or secretary change; director or secretary change; special resolution; 2017: annual return; director or secretary change; director or secretary change; 2018: director or secretary change; annual return; registered office change; 2019: annual return; director or secretary change; director or secretary change; 2020: annual return; 2021: annual return; 2022: director or secretary change; annual return; 2023: annual return; 2024: other filing; other filing; director or secretary change; annual return; 2025: annual return; 2026: annual return. Company: SWEDENCARE IRELAND LIMITED. County: Cork. Legal form: LTD - Private Company Limited by Shares. Age at observation: 26.6 years."
294038,CLOUNALOUR MANAGEMENT COMPANY LIMITED BY GUARANTEE,LOW_CONCERN,49,"CLOUNALOUR MANAGEMENT COMPANY LIMITED BY GUARANTEE has filed with the registry since 1998. Across its history: 29 annual returns, 15 director or secretary changes, 3 registered office changes. In the 8 years to 2024 the filing sequence was: 2016: annual return; director or secretary change; director or secretary change; 2017: annual return; director or secretary change; 2018: annual return; 2019: annual return; director or secretary change; 2020: registered office change; annual return; director or secretary change; 2021: annual return; 2022: annual return; 2023: director or secretary change; annual return; director or secretary change; registered office change; 2024: annual return; 2025: annual return; director or secretary change; 2026: annual return.","CLOUNALOUR MANAGEMENT COMPANY LIMITED BY GUARANTEE has filed with the registry since 1998. Across its history: 29 annual returns, 15 director or secretary changes, 3 registered office changes. In the 8 years to 2024 the filing sequence was: 2016: annual return; director or secretary change; director or secretary change; 2017: annual return; director or secretary change; 2018: annual return; 2019: annual return; director or secretary change; 2020: registered office change; annual return; director or secretary change; 2021: annual return; 2022: annual return; 2023: director or secretary change; annual return; director or secretary change; registered office change; 2024: annual return; 2025: annual return; director or secretary change; 2026: annual return. CLOUNALOUR MANAGEMENT COMPANY LIMITED BY GUARANTEE has filed with the registry since 1998. Across its history: 29 annual returns, 15 director or secretary changes, 3 registered office changes. In the 8 years to 2024 the filing sequence was: 2016: annual return; director or secretary change; director or secretary change; 2017: annual return; director or secretary change; 2018: annual return; 2019: annual return; director or secretary change; 2020: registered office change; annual return; director or secretary change; 2021: annual return; 2022: annual return; 2023: director or secretary change; annual return; director or secretary change; registered office change; 2024: annual return; 2025: annual return; director or secretary change; 2026: annual return. Company: CLOUNALOUR MANAGEMENT COMPANY LIMITED BY GUARANTEE. County: Kerry. Legal form: CLG - Company Limited by Guarantee. Age at observation: 26.2 years."
653782,DEVELOPMENT & GROWTH FUNDING DESIGNATED ACTIVITY COMPANY,DISSOLUTION_RISK,15,"DEVELOPMENT & GROWTH FUNDING DESIGNATED ACTIVITY COMPANY has filed with the registry since 2019. Across its history: 7 annual returns, 4 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; director or secretary change; director or secretary change; director or secretary change; other filing; 2020: annual return without accounts; director or secretary change; other filing; 2021: annual return; annual return; 2022: annual return; 2023: registered office change; annual return; 2024: annual return; 2025: annual return.","DEVELOPMENT & GROWTH FUNDING DESIGNATED ACTIVITY COMPANY has filed with the registry since 2019. Across its history: 7 annual returns, 4 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; director or secretary change; director or secretary change; director or secretary change; other filing; 2020: annual return without accounts; director or secretary change; other filing; 2021: annual return; annual return; 2022: annual return; 2023: registered office change; annual return; 2024: annual return; 2025: annual return. DEVELOPMENT & GROWTH FUNDING DESIGNATED ACTIVITY COMPANY has filed with the registry since 2019. Across its history: 7 annual returns, 4 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; director or secretary change; director or secretary change; director or secretary change; other filing; 2020: annual return without accounts; director or secretary change; other filing; 2021: annual return; annual return; 2022: annual return; 2023: registered office change; annual return; 2024: annual return; 2025: annual return. Company: DEVELOPMENT & GROWTH FUNDING DESIGNATED ACTIVITY COMPANY. County: Dublin. Legal form: DAC - Designated Activity Company (limited by shares). Age at observation: 5.5 years."
291910,SCHORMAN CONTRACT CLEANING SERVICES LIMITED,LOW_CONCERN,35,"SCHORMAN CONTRACT CLEANING SERVICES LIMITED has filed with the registry since 1998. Across its history: 27 annual returns, 2 charge registereds, 1 registered office change, 1 auditor resignation. In the 8 years to 2024 the filing sequence was: 2016: annual return; 2017: annual return; 2018: annual return; 2019: annual return; 2020: auditor resignation; other filing; annual return; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return; 2026: annual return.","SCHORMAN CONTRACT CLEANING SERVICES LIMITED has filed with the registry since 1998. Across its history: 27 annual returns, 2 charge registereds, 1 registered office change, 1 auditor resignation. In the 8 years to 2024 the filing sequence was: 2016: annual return; 2017: annual return; 2018: annual return; 2019: annual return; 2020: auditor resignation; other filing; annual return; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return; 2026: annual return. SCHORMAN CONTRACT CLEANING SERVICES LIMITED has filed with the registry since 1998. Across its history: 27 annual returns, 2 charge registereds, 1 registered office change, 1 auditor resignation. In the 8 years to 2024 the filing sequence was: 2016: annual return; 2017: annual return; 2018: annual return; 2019: annual return; 2020: auditor resignation; other filing; annual return; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return; 2026: annual return. Company: SCHORMAN CONTRACT CLEANING SERVICES LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 26.4 years."
293111,KIRWAN QUARRIES LIMITED,LOW_CONCERN,55,"KIRWAN QUARRIES LIMITED has filed with the registry since 1998. Across its history: 26 annual returns, 17 director or secretary changes, 3 registered office changes, 1 conversion to private limited. In the 8 years to 2024 the filing sequence was: 2016: annual return; conversion to private limited; 2017: annual return; 2018: annual return; 2019: annual return; 2020: annual return; 2021: annual return; 2022: annual return; 2023: annual return; director or secretary change; 2024: annual return; 2025: annual return.","KIRWAN QUARRIES LIMITED has filed with the registry since 1998. Across its history: 26 annual returns, 17 director or secretary changes, 3 registered office changes, 1 conversion to private limited. In the 8 years to 2024 the filing sequence was: 2016: annual return; conversion to private limited; 2017: annual return; 2018: annual return; 2019: annual return; 2020: annual return; 2021: annual return; 2022: annual return; 2023: annual return; director or secretary change; 2024: annual return; 2025: annual return. KIRWAN QUARRIES LIMITED has filed with the registry since 1998. Across its history: 26 annual returns, 17 director or secretary changes, 3 registered office changes, 1 conversion to private limited. In the 8 years to 2024 the filing sequence was: 2016: annual return; conversion to private limited; 2017: annual return; 2018: annual return; 2019: annual return; 2020: annual return; 2021: annual return; 2022: annual return; 2023: annual return; director or secretary change; 2024: annual return; 2025: annual return. Company: KIRWAN QUARRIES LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 26.3 years."
651769,CLISTE PHARMA SOLUTIONS LIMITED,LOW_CONCERN,9,CLISTE PHARMA SOLUTIONS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns. In the 8 years to 2024 the filing sequence was: 2019: other filing; annual return without accounts; 2021: annual return; annual return; 2022: other filing; annual return; 2023: annual return; 2024: annual return; 2025: annual return.,CLISTE PHARMA SOLUTIONS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns. In the 8 years to 2024 the filing sequence was: 2019: other filing; annual return without accounts; 2021: annual return; annual return; 2022: other filing; annual return; 2023: annual return; 2024: annual return; 2025: annual return. CLISTE PHARMA SOLUTIONS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns. In the 8 years to 2024 the filing sequence was: 2019: other filing; annual return without accounts; 2021: annual return; annual return; 2022: other filing; annual return; 2023: annual return; 2024: annual return; 2025: annual return. Company: CLISTE PHARMA SOLUTIONS LIMITED. County: Cork. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.5 years.
652633,MREAL CAPITAL LIMITED,LOW_CONCERN,10,"MREAL CAPITAL LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 2 director or secretary changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; annual return; 2021: annual return; 2022: annual return; 2023: annual return; 2024: director or secretary change; director or secretary change; annual return; 2025: annual return.","MREAL CAPITAL LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 2 director or secretary changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; annual return; 2021: annual return; 2022: annual return; 2023: annual return; 2024: director or secretary change; director or secretary change; annual return; 2025: annual return. MREAL CAPITAL LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 2 director or secretary changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; annual return; 2021: annual return; 2022: annual return; 2023: annual return; 2024: director or secretary change; director or secretary change; annual return; 2025: annual return. Company: MREAL CAPITAL LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.5 years."
654099,SOFTRAY IM IRELAND LIMITED,DISSOLUTION_RISK,17,"SOFTRAY IM IRELAND LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 8 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; director or secretary change; 2021: director or secretary change; annual return; director or secretary change; director or secretary change; registered office change; director or secretary change; 2022: annual return; director or secretary change; 2023: annual return; director or secretary change; 2024: director or secretary change; annual return; 2025: annual return; 2026: annual return.","SOFTRAY IM IRELAND LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 8 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; director or secretary change; 2021: director or secretary change; annual return; director or secretary change; director or secretary change; registered office change; director or secretary change; 2022: annual return; director or secretary change; 2023: annual return; director or secretary change; 2024: director or secretary change; annual return; 2025: annual return; 2026: annual return. SOFTRAY IM IRELAND LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 8 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; director or secretary change; 2021: director or secretary change; annual return; director or secretary change; director or secretary change; registered office change; director or secretary change; 2022: annual return; director or secretary change; 2023: annual return; director or secretary change; 2024: director or secretary change; annual return; 2025: annual return; 2026: annual return. Company: SOFTRAY IM IRELAND LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.4 years."
654382,ACROW CONSULTING LIMITED,LOW_CONCERN,10,"ACROW CONSULTING LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; annual return; 2021: annual return; 2022: annual return; 2023: annual return; 2024: director or secretary change; registered office change; annual return; 2025: annual return.","ACROW CONSULTING LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; annual return; 2021: annual return; 2022: annual return; 2023: annual return; 2024: director or secretary change; registered office change; annual return; 2025: annual return. ACROW CONSULTING LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; annual return; 2021: annual return; 2022: annual return; 2023: annual return; 2024: director or secretary change; registered office change; annual return; 2025: annual return. Company: ACROW CONSULTING LIMITED. County: Cork. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.4 years."
654828,WESTERN CABINS LIMITED,LOW_CONCERN,12,"WESTERN CABINS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; other filing; 2025: registered office change; other filing; annual return; annual return; annual return; annual return; annual return; registered office change; 2026: annual return.","WESTERN CABINS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; other filing; 2025: registered office change; other filing; annual return; annual return; annual return; annual return; annual return; registered office change; 2026: annual return. WESTERN CABINS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; other filing; 2025: registered office change; other filing; annual return; annual return; annual return; annual return; annual return; registered office change; 2026: annual return. Company: WESTERN CABINS LIMITED. County: Galway. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.4 years."
