company_num,company_name,company_type,nace_v2_code,combined_risk_tier,dissolution_risk_score,spv_signal_nace,spv_signal_dac,spv_signal_name,is_likely_spv,priority_class
485949,HARMONIC AIRCRAFT LEASING LIMITED,LTD - Private Company Limited by Shares,7735.0,PRIORITY,0.7231,True,False,True,True,PRIORITY-SPV
597840,GLENCAR INVESTMENTS IV DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),7735.0,PRIORITY,0.9747,True,True,True,True,PRIORITY-SPV
630468,AXA GLOBAL HEALTHCARE (EU) LIMITED,LTD - Private Company Limited by Shares,9609.0,PRIORITY,0.7231,False,False,False,False,PRIORITY-Core
649131,CONTRAIL FUNDING 1 LIMITED,LTD - Private Company Limited by Shares,3030.0,PRIORITY,0.7209,False,False,True,True,PRIORITY-SPV
765448,TAAM GELATI AVIATION ONE DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),6499.0,PRIORITY,0.8566,True,True,True,True,PRIORITY-SPV
627276,START IRELAND LEASING 1 LIMITED,LTD - Private Company Limited by Shares,7735.0,PRIORITY,0.5955,True,False,True,True,PRIORITY-SPV
716460,AXA LEVERAGED LOANS DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),6619.0,PRIORITY,0.8788,True,True,True,True,PRIORITY-SPV
485884,FORTRESS IRELAND LEASING LIMITED,LTD - Private Company Limited by Shares,7735.0,PRIORITY,0.7231,True,False,True,True,PRIORITY-SPV
687074,ROY AVIATION 60263 DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),7735.0,PRIORITY,0.8566,True,True,True,True,PRIORITY-SPV
697350,RIVE ENGINE LEASING LIMITED,LTD - Private Company Limited by Shares,7735.0,PRIORITY,0.7209,True,False,True,True,PRIORITY-SPV
666089,GLENCAR INVESTMENTS 29 DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),6499.0,PRIORITY,0.7231,True,True,True,True,PRIORITY-SPV
687081,ROY AVIATION 379 DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),7735.0,PRIORITY,0.8566,True,True,True,True,PRIORITY-SPV
687072,ROY AVIATION 60264 DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),7735.0,PRIORITY,0.8566,True,True,True,True,PRIORITY-SPV
701200,GLENCAR NORDIC SECURED LENDING DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),6499.0,PRIORITY,0.9674,True,True,True,True,PRIORITY-SPV
723804,TAI (I) - AERO EIGHT LIMITED,LTD - Private Company Limited by Shares,7735.0,PRIORITY,0.7209,True,False,False,True,PRIORITY-SPV
628624,SKY VOYAGER AVIATION TRADING IV DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),7735.0,PRIORITY,0.8566,True,True,True,True,PRIORITY-SPV
711236,GOLDENTREE LOAN MANAGEMENT EUR CLO 7 DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),6492.0,PRIORITY,0.5955,True,True,True,True,PRIORITY-SPV
730425,WAVE III FINANCE DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),6492.0,PRIORITY,0.9674,True,True,True,True,PRIORITY-SPV
323129,BLACK LIQUID INVESTMENTS (IRELAND) UNLIMITED COMPANY,ULC - Private Unlimited Company,6411.0,PRIORITY,0.8566,True,False,True,True,PRIORITY-SPV
325762,BLACK DRAUGHT INVESTMENTS UNLIMITED COMPANY,ULC - Private Unlimited Company,6420.0,PRIORITY,0.8566,True,False,True,True,PRIORITY-SPV
459439,MULLALLY'S BAR LIMITED,LTD - Private Company Limited by Shares,UNKNOWN,PRIORITY,0.7231,False,False,False,False,PRIORITY-Core
626946,GLENCAR INVESTMENTS VII DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),6492.0,PRIORITY,0.9674,True,True,True,True,PRIORITY-SPV
680055,WALDEN DIGITAL IRELAND LIMITED,LTD - Private Company Limited by Shares,6209.0,PRIORITY,0.8566,False,False,False,False,PRIORITY-Core
508995,PIZZA DOG LIMITED,LTD - Private Company Limited by Shares,UNKNOWN,PRIORITY,0.8566,False,False,False,False,PRIORITY-Core
638352,ZEPPELIN ISSUER DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),7735.0,PRIORITY,0.8788,True,True,True,True,PRIORITY-SPV
687948,450 AIRCRAFT LEASING MSN 60280 B787 DESIGNATED ACTIVITY COMPANY,DAC - Designated Activity Company (limited by shares),7735.0,PRIORITY,0.5955,True,True,True,True,PRIORITY-SPV
662982,ION PLATFORM FINANCE GROUP LIMITED,LTD - Private Company Limited by Shares,6420.0,PRIORITY,0.5955,True,False,True,True,PRIORITY-SPV
637646,GLADIUS FUNDING LIMITED,LTD - Private Company Limited by Shares,7735.0,PRIORITY,0.8566,True,False,True,True,PRIORITY-SPV
729497,NOARD INVESTMENTS UNLIMITED COMPANY,ULC - Private Unlimited Company,6420.0,PRIORITY,0.9747,True,False,True,True,PRIORITY-SPV
