company_num,combined_risk_tier,n_features_cited,hits_top5,precision_top5,cites_any_top3,leads_with_top_driver,jaccard_top5
286938,BEHAVIORAL_ANOMALY,4,3,0.75,1,1,0.5
294038,LOW_CONCERN,3,3,1.0,1,1,0.6
653782,DISSOLUTION_RISK,4,3,0.75,1,0,0.5
291910,LOW_CONCERN,2,2,1.0,1,1,0.4
293111,LOW_CONCERN,4,4,1.0,1,1,0.8
651769,LOW_CONCERN,2,2,1.0,1,0,0.4
652633,LOW_CONCERN,4,3,0.75,1,1,0.5
654099,DISSOLUTION_RISK,3,2,0.6666666666666666,1,1,0.3333333333333333
654382,LOW_CONCERN,4,3,0.75,1,1,0.5
654828,LOW_CONCERN,3,2,0.6666666666666666,1,1,0.3333333333333333
655410,LOW_CONCERN,3,3,1.0,1,0,0.6
656720,LOW_CONCERN,3,3,1.0,1,1,0.6
657087,LOW_CONCERN,4,3,0.75,1,1,0.5
658234,LOW_CONCERN,4,3,0.75,1,1,0.5
658283,DISSOLUTION_RISK,4,1,0.25,1,1,0.125
658370,BEHAVIORAL_ANOMALY,4,2,0.5,1,0,0.2857142857142857
658813,LOW_CONCERN,5,4,0.8,1,1,0.6666666666666666
659855,LOW_CONCERN,5,5,1.0,1,1,1.0
662043,LOW_CONCERN,5,4,0.8,1,1,0.6666666666666666
663548,LOW_CONCERN,3,2,0.6666666666666666,1,0,0.3333333333333333
663860,LOW_CONCERN,2,2,1.0,1,1,0.4
665815,DISSOLUTION_RISK,5,4,0.8,1,1,0.6666666666666666
666678,LOW_CONCERN,4,3,0.75,1,1,0.5
669911,DISSOLUTION_RISK,4,2,0.5,1,0,0.2857142857142857
678481,LOW_CONCERN,3,3,1.0,1,1,0.6
670433,LOW_CONCERN,2,1,0.5,1,0,0.16666666666666666
672922,DISSOLUTION_RISK,5,4,0.8,1,1,0.6666666666666666
675933,LOW_CONCERN,4,3,0.75,1,1,0.5
676791,DISSOLUTION_RISK,4,1,0.25,1,0,0.125
676923,DISSOLUTION_RISK,4,3,0.75,1,0,0.5
677044,LOW_CONCERN,3,3,1.0,1,0,0.6
677306,BEHAVIORAL_ANOMALY,4,2,0.5,1,1,0.2857142857142857
678100,LOW_CONCERN,4,3,0.75,1,1,0.5
678544,LOW_CONCERN,2,2,1.0,1,1,0.4
679407,LOW_CONCERN,4,4,1.0,1,1,0.8
679411,LOW_CONCERN,3,3,1.0,1,1,0.6
679827,LOW_CONCERN,4,3,0.75,1,1,0.5
679901,LOW_CONCERN,2,2,1.0,1,0,0.4
681641,LOW_CONCERN,3,2,0.6666666666666666,1,1,0.3333333333333333
681818,DISSOLUTION_RISK,5,4,0.8,1,1,0.6666666666666666
682410,LOW_CONCERN,3,3,1.0,1,1,0.6
682633,LOW_CONCERN,3,3,1.0,1,1,0.6
682751,DISSOLUTION_RISK,4,2,0.5,1,1,0.2857142857142857
682854,LOW_CONCERN,3,2,0.6666666666666666,1,0,0.3333333333333333
682920,LOW_CONCERN,3,2,0.6666666666666666,1,0,0.3333333333333333
683466,LOW_CONCERN,5,4,0.8,1,1,0.6666666666666666
683638,LOW_CONCERN,3,2,0.6666666666666666,1,0,0.3333333333333333
683737,LOW_CONCERN,2,2,1.0,1,0,0.4
684124,LOW_CONCERN,3,3,1.0,1,1,0.6
684559,LOW_CONCERN,3,2,0.6666666666666666,1,1,0.3333333333333333
685774,LOW_CONCERN,3,3,1.0,1,0,0.6
161500,LOW_CONCERN,4,4,1.0,1,1,0.8
686380,LOW_CONCERN,4,3,0.75,1,1,0.5
686955,DISSOLUTION_RISK,5,4,0.8,1,1,0.6666666666666666
163137,LOW_CONCERN,4,3,0.75,1,1,0.5
170233,LOW_CONCERN,4,3,0.75,1,1,0.5
170686,LOW_CONCERN,4,4,1.0,1,1,0.8
175479,LOW_CONCERN,4,4,1.0,1,1,0.8
180845,LOW_CONCERN,4,3,0.75,1,1,0.5
185952,LOW_CONCERN,4,4,1.0,1,1,0.8
485678,LOW_CONCERN,4,3,0.75,1,1,0.5
477708,LOW_CONCERN,5,3,0.6,1,1,0.42857142857142855
479534,DISSOLUTION_RISK,3,2,0.6666666666666666,1,1,0.3333333333333333
479566,DISSOLUTION_RISK,4,3,0.75,1,0,0.5
481895,LOW_CONCERN,4,3,0.75,1,1,0.5
484160,LOW_CONCERN,4,3,0.75,1,1,0.5
485288,LOW_CONCERN,5,3,0.6,1,1,0.42857142857142855
490404,BEHAVIORAL_ANOMALY,4,3,0.75,1,0,0.5
485949,PRIORITY,4,3,0.75,1,0,0.5
494015,DISSOLUTION_RISK,4,2,0.5,1,0,0.2857142857142857
495645,LOW_CONCERN,4,2,0.5,1,0,0.2857142857142857
497873,DISSOLUTION_RISK,4,2,0.5,1,1,0.2857142857142857
500069,LOW_CONCERN,4,2,0.5,1,0,0.2857142857142857
502763,DISSOLUTION_RISK,4,3,0.75,1,1,0.5
502683,LOW_CONCERN,5,3,0.6,1,1,0.42857142857142855
503773,LOW_CONCERN,5,3,0.6,1,0,0.42857142857142855
505452,LOW_CONCERN,4,2,0.5,1,0,0.2857142857142857
508257,DISSOLUTION_RISK,4,3,0.75,1,0,0.5
235622,LOW_CONCERN,4,4,1.0,1,1,0.8
373719,DISSOLUTION_RISK,4,3,0.75,1,1,0.5
657382,LOW_CONCERN,3,2,0.6666666666666666,1,1,0.3333333333333333
82655,LOW_CONCERN,4,4,1.0,1,1,0.8
87724,LOW_CONCERN,4,4,1.0,1,1,0.8
348885,LOW_CONCERN,4,3,0.75,1,1,0.5
351067,LOW_CONCERN,4,4,1.0,1,1,0.8
340116,LOW_CONCERN,3,2,0.6666666666666666,1,0,0.3333333333333333
341162,LOW_CONCERN,5,4,0.8,1,1,0.6666666666666666
349639,LOW_CONCERN,4,3,0.75,1,1,0.5
355563,LOW_CONCERN,4,4,1.0,1,1,0.8
358333,LOW_CONCERN,4,4,1.0,1,1,0.8
368145,LOW_CONCERN,5,4,0.8,1,1,0.6666666666666666
356193,LOW_CONCERN,4,3,0.75,1,1,0.5
369139,LOW_CONCERN,4,4,1.0,1,1,0.8
547507,DISSOLUTION_RISK,4,1,0.25,0,0,0.125
550148,LOW_CONCERN,3,3,1.0,1,1,0.6
550155,LOW_CONCERN,3,2,0.6666666666666666,1,1,0.3333333333333333
554433,DISSOLUTION_RISK,4,2,0.5,1,1,0.2857142857142857
555798,LOW_CONCERN,4,2,0.5,1,0,0.2857142857142857
563601,LOW_CONCERN,3,0,0.0,0,0,0.0
559014,DISSOLUTION_RISK,4,1,0.25,1,0,0.125
564492,DISSOLUTION_RISK,5,2,0.4,1,0,0.25
565074,LOW_CONCERN,5,2,0.4,1,1,0.25
569419,LOW_CONCERN,4,1,0.25,1,0,0.125
569562,LOW_CONCERN,5,2,0.4,1,1,0.25
571705,LOW_CONCERN,3,0,0.0,0,0,0.0
573236,LOW_CONCERN,4,1,0.25,1,0,0.125
574494,LOW_CONCERN,5,2,0.4,1,1,0.25
575152,LOW_CONCERN,4,2,0.5,1,1,0.2857142857142857
575606,LOW_CONCERN,2,1,0.5,1,1,0.16666666666666666
577018,LOW_CONCERN,3,1,0.3333333333333333,1,1,0.14285714285714285
579108,DISSOLUTION_RISK,4,2,0.5,1,1,0.2857142857142857
580018,LOW_CONCERN,4,2,0.5,1,1,0.2857142857142857
23556,LOW_CONCERN,4,4,1.0,1,1,0.8
30898,LOW_CONCERN,4,4,1.0,1,1,0.8
20778,LOW_CONCERN,4,4,1.0,1,1,0.8
24881,LOW_CONCERN,4,4,1.0,1,1,0.8
308540,LOW_CONCERN,4,4,1.0,1,1,0.8
34277,LOW_CONCERN,4,4,1.0,1,1,0.8
37853,LOW_CONCERN,4,4,1.0,1,1,0.8
303895,BEHAVIORAL_ANOMALY,3,2,0.6666666666666666,1,1,0.3333333333333333
308449,DISSOLUTION_RISK,4,3,0.75,1,1,0.5
314164,LOW_CONCERN,4,4,1.0,1,1,0.8
326978,LOW_CONCERN,4,4,1.0,1,1,0.8
583971,LOW_CONCERN,4,0,0.0,0,0,0.0
