_yr,n,dissolved,rate,lo,hi,lift
0,3483,233.0,0.06689635371805915,0.059066911282503784,0.07568013314876608,0.9992131493149206
1,8675,830.0,0.09567723342939481,0.0896650323540447,0.10204737313564645,1.429105540425232
2,6606,589.0,0.08916136845292158,0.0825257932981398,0.09627449746828343,1.3317797879471116
3,6855,545.0,0.07950401167031364,0.07333289673727555,0.0861461616506598,1.1875304029137017
4,6206,492.0,0.07927811795037061,0.07281354539854469,0.08626323362912001,1.1841562881410785
5,5857,480.0,0.08195321837117979,0.07519939519962396,0.08925507495701707,1.2241135558791079
6,5097,357.0,0.07004120070629782,0.06335357207293078,0.07737645961438923,1.0461868973382484
7,4432,287.0,0.06475631768953069,0.057881235133921176,0.07238527393168659,0.9672479969431547
8,3801,278.0,0.07313864772428308,0.06528530774418992,0.08185395818477803,1.0924526445375853
9,3021,203.0,0.0671962926183383,0.05880683301367194,0.07668508828230604,1.003693257370034
10,2652,178.0,0.06711915535444947,0.05820792086649634,0.07728268971811081,1.0025410784530076
11,2369,175.0,0.07387083157450401,0.06401382286295931,0.08510763556056125,1.1033890811323244
12,2042,138.0,0.06758080313418217,0.057484812466207694,0.07930075294609011,1.00943658928765
13,1870,95.0,0.05080213903743316,0.041737684998493674,0.0617084120462085,0.7588181196462498
14,2188,117.0,0.05347349177330896,0.04480503413356332,0.06370718682254957,0.7987194092052486
15,2735,111.0,0.040585009140767826,0.03381111833404365,0.04864768468691238,0.6062075516019324
16,2424,118.0,0.04867986798679868,0.0408040600191927,0.0579839333984998,0.7271183180525511
17,2312,125.0,0.05406574394463668,0.0455651062876537,0.06404584465130515,0.8075657233077349
18,2052,94.0,0.04580896686159844,0.03758029509148504,0.055735065391540495,0.6842364269591555
19,1818,83.0,0.04565456545654566,0.03697977544582718,0.056245453355622956,0.6819301739927881
20,1673,75.0,0.04482964734010759,0.03591317483399574,0.05583168645761344,0.6696085901808068
21,1648,84.0,0.050970873786407765,0.041357358216648224,0.06267295558583744,0.7613384659813037
22,2071,93.0,0.04490584258812168,0.03679746810206394,0.05469944424054571,0.6707466984557641
23,1790,84.0,0.04692737430167598,0.03806288448753774,0.05773241873209993,0.7009417832051333
24,1526,77.0,0.05045871559633028,0.04056086032379219,0.06261426578076662,0.7536884945013693
25,1285,52.0,0.04046692607003891,0.030991673865820843,0.0526816029744053,0.6044437759934576
26,1030,44.0,0.04271844660194175,0.03197409782351424,0.05686117442708972,0.6380741429176641
27,884,49.0,0.05542986425339366,0.04217963530777136,0.07252731241803918,0.8279412277111915
28,774,33.0,0.04263565891472868,0.030517654194790297,0.05927132083560149,0.6368375651213121
29,616,34.0,0.05519480519480519,0.03976366592131697,0.07613949385369652,0.8244302126983691
30,663,40.0,0.06033182503770739,0.04461611093830811,0.0811132976648744,0.9011605199577596
31,730,33.0,0.045205479452054796,0.03236730733979988,0.06280527486322597,0.6752222950738295
32,771,29.0,0.03761348897535668,0.026314581566595174,0.05349734386435741,0.5618227405067394
33,774,48.0,0.06201550387596899,0.047091586597161963,0.08126565220312847,0.9263091856309993
34,652,35.0,0.05368098159509203,0.03884845650725362,0.07374214463790096,0.8018186298167106
35,545,25.0,0.045871559633027525,0.03126111539158233,0.06683932014391646,0.6851713586376085
36,419,15.0,0.03579952267303103,0.02181280508727346,0.058220947504713697,0.5347280054283962
37,388,20.0,0.05154639175257732,0.0336127717698613,0.07827325564529829,0.7699348256855599
38,364,17.0,0.046703296703296704,0.02936059466817029,0.07351412097030019,0.6975947953601586
39,311,13.0,0.04180064308681672,0.024588473914327072,0.0701944264393746,0.6243651544626952
40,301,17.0,0.05647840531561462,0.03555764530204751,0.08857764331997785,0.8436030083425173
41,377,25.0,0.06631299734748011,0.045316641270954056,0.09605867066975832,0.9904997094363306
42,327,13.0,0.039755351681957186,0.023377846876085694,0.06682120910720057,0.5938151774859274
43,319,17.0,0.05329153605015674,0.0335352780664619,0.08367886038409714,0.7960015846742875
44,198,8.0,0.04040404040404041,0.020612918777837285,0.07768990878595532,0.6035044694262572
45,169,12.0,0.07100591715976332,0.041081448211808286,0.12000014325691219,1.0605966119502863
46,176,8.0,0.045454545454545456,0.023209498401566178,0.08711870152548072,0.6789425281045394
47,146,10.0,0.0684931506849315,0.037626047530495595,0.1214859747650485,1.023064083445196
48,215,9.0,0.04186046511627907,0.02217646863045342,0.0776290528060559,0.6252587003009246
49,168,14.0,0.08333333333333333,0.05028687195446113,0.13500935433765907,1.2447279681916552
50,116,5.0,0.04310344827586207,0.018549292808975083,0.09694983270336788,0.6438248111336149
51,120,5.0,0.041666666666666664,0.017926452505837805,0.0938421292954309,0.6223639840958276
52,98,4.0,0.04081632653061224,0.015984990527160958,0.10028969486662705,0.6096626782979536
