feature,cohen_d,abs_d,p_value,bonferroni_sig
filing_consistency,0.513,0.513,1.0,False
ar_filed_count,-0.4228,0.4228,8.332883952266219e-306,True
county_enterprise_density,0.4103,0.4103,1.0805602311076377e-193,True
annual_submission_rate,0.3902,0.3902,0.0,True
solvency_ratio,-0.3655,0.3655,6.391860644328068e-15,True
county_enterprise_trend,-0.3488,0.3488,1.7082572967444684e-200,True
submission_history_years,-0.3429,0.3429,4.876205941592562e-230,True
ebit_margin,0.2613,0.2613,0.03504917425566819,False
director_avg_portfolio_size,0.2472,0.2472,1.5139671589800767e-05,True
avg_days_to_file,-0.2373,0.2373,4.901416328779117e-50,True
max_days_to_file,-0.2351,0.2351,2.1660492312463876e-49,True
same_day_dissolution_count,-0.1936,0.1936,8.944218479384489e-67,True
nace_enc,-0.1919,0.1919,2.3193366321640713e-38,True
company_age_years,-0.191,0.191,1.2366562082709239e-73,True
sector_relative_deviation,-0.1899,0.1899,7.795635887090317e-29,True
county_enc,-0.1898,0.1898,9.390451342359552e-36,True
total_submissions,-0.1866,0.1866,1.8576049295737988e-83,True
director_dissolution_count,0.1854,0.1854,0.0043396661534088775,False
same_address_risk_flag,0.1845,0.1845,1.406204207236621e-47,True
roaa,-0.1832,0.1832,1.1652979162578784e-07,True
director_max_dissolutions,0.1809,0.1809,0.004806281785843763,False
name_has_numbers,0.175,0.175,5.810681323507946e-43,True
consecutive_loss_years,0.165,0.165,4.944775365396752e-37,True
days_since_last_office_change,-0.1627,0.1627,5.187007299637287e-24,True
sector_birth_acceleration,-0.1577,0.1577,2.4334592123658547e-42,True
age_vs_sector_median,-0.1457,0.1457,2.1151532823671732e-40,True
fame_days_since_accounts,0.1454,0.1454,2.9574263116020218e-05,True
sector_late_filer_risk,-0.1285,0.1285,4.9278935940771155e-23,True
office_change_count,0.1283,0.1283,2.0454249225695955e-24,True
name_change_count,0.1273,0.1273,1.0836112460125488e-51,True
is_loss_making,0.1229,0.1229,4.550089616054068e-22,True
is_foreign_owned,-0.1209,0.1209,2.1738355590846388e-21,True
guo_irish_company_count,0.1203,0.1203,1.7484438854832375e-44,True
late_filer_flag,-0.1185,0.1185,1.2405022183106832e-20,True
same_day_reg_count,0.1166,0.1166,1.9629754198495428e-20,True
days_since_last_name_change,-0.1161,0.1161,3.962869011764826e-05,True
is_corporate_owned,-0.1158,0.1158,9.376598592487505e-20,True
name_token_dissolution_rate,-0.1137,0.1137,4.219557591847542e-18,True
sector_imputed,-0.1062,0.1062,6.993738471125896e-17,True
is_operating_loss,0.105,0.105,1.5593652265095979e-16,True
is_insolvent,0.1025,0.1025,7.910374351368654e-16,True
name_risk_score,-0.098,0.098,8.637971577180705e-13,True
company_type_enc,0.0977,0.0977,1.8755615118708557e-13,True
satisfied_charge_count,0.0896,0.0896,1.1009256426054466e-22,True
name_address_dissolution_count,0.0891,0.0891,5.728578082600126e-44,True
ebit_declining,0.0873,0.0873,6.732191431310413e-12,True
revenue_declining,0.0854,0.0854,1.9653760017884915e-11,True
ar_late_count,-0.0772,0.0772,1.4888823246338222e-13,True
sector_newborn_micro_share,-0.0766,0.0766,0.0025816476495017743,False
days_since_last_charge,-0.0754,0.0754,1.9124249963589007e-06,True
director_change_count,-0.0743,0.0743,7.098155293915264e-11,True
sector_death_birth_ratio,-0.0737,0.0737,8.931868993278092e-07,True
sector_employer_share,0.0705,0.0705,3.2064245394817884e-12,True
revenue_declining_2yr,0.0704,0.0704,3.118069861332692e-08,True
pl_declining,0.0681,0.0681,8.767214339706292e-08,True
guo_worldcompliance,-0.0666,0.0666,1.6264630782438785e-07,True
short_period_flag,0.0626,0.0626,8.672289348629556e-07,True
n_filings_yr0,0.0575,0.0575,9.060617449107628e-07,True
current_ratio,0.0565,0.0565,3.0580094659373154e-12,True
fame_covered,-0.0553,0.0553,1.3949523622051097e-05,True
employees_declining,-0.0528,0.0528,3.347133687866695e-05,True
outstanding_charge_count,-0.052,0.052,9.116851673922028e-34,True
sol_declining,-0.0514,0.0514,5.2788833719828035e-05,True
days_since_last_ar_filing,-0.05,0.05,0.002444025519964223,False
same_address_dissolution_count,0.0452,0.0452,2.6916249105839207e-55,True
solvency_trend_3yr,0.043,0.043,0.5548063217291781,False
name_generic_token_count,-0.042,0.042,0.0002828176011398627,True
revenue_cagr_3yr,0.04,0.04,0.9624058902468059,False
has_f8_before_obs,0.0392,0.0392,0.0020481343324570294,False
has_negative_news_mention,0.0353,0.0353,0.0055780859539876345,False
name_token_dissolution_count,-0.0346,0.0346,6.235112208478199e-17,True
director_back_to_back_flag,0.0346,0.0346,0.006464175529841066,False
has_long_term_debt,0.0245,0.0245,0.053673380453017436,False
sector_avg_startup_turnover,0.0232,0.0232,2.430468707753399e-05,True
n_subsidiaries_ult,-0.0189,0.0189,2.5618882758870716e-30,True
total_charge_events,0.0178,0.0178,0.055953477774928276,False
director_resignation_count,-0.0162,0.0162,0.36474824614456225,False
slow_creditor_payment,0.0135,0.0135,0.28722834847378254,False
charge_count,-0.0129,0.0129,0.010074068003649763,False
has_winding_up_before_obs,0.0113,0.0113,0.373431190945115,False
highly_geared,0.0079,0.0079,0.5346922291417261,False
has_examinership_before_obs,-0.0066,0.0066,0.6045142439077139,False
illiquid,0.0053,0.0053,0.6755870515255804,False
other_form_count,-0.005,0.005,6.134572520042848e-08,True
