n,figure
1,fig_01_completeness
2,fig_02_effect_sizes
3,fig_03_top_feature_distributions
4,fig_04_binary_odds
5,fig_05_sector_risk
6,fig_06_age_curve
7,fig_07_county_risk
8,fig_08_correlation
9,fig_09_distribution_diagnostics
10,fig_10_model_ap
11,fig_11_model_auc
12,fig_12_pr_curve
13,fig_13_roc_curve
14,fig_14_calibration
15,fig_15_ks_separation
16,fig_23_triage_gains
17,fig_16_shap_importance
18,fig_17_shap_direction
19,fig_19_financial_ablation
20,fig_20_anomaly_vs_null
21,fig_21_lead_time_windows
22,fig_18_tier_confirmation
23,fig_22_entity_by_tier
