feature,mean_abs_shap,companies,share_of_cohort,influence
total_submissions,3.679067617770969,26110,0.901152757644785,3.3154019293159385
ar_filed_count,3.6330373034947403,25381,0.8759922689307655,3.182512590598468
annual_submission_rate,2.9416123979449598,25109,0.8666045420031753,2.549214664871954
company_age_years,2.792490369653727,24807,0.856181404017395,2.390878325395182
director_change_count,2.116874859884107,21054,0.7266514806378133,1.5382302512597499
submission_history_years,1.6508321484836548,20312,0.7010423137985781,1.1573031890660592
other_form_count,1.1998297080015168,13185,0.4550631600745496,0.5459982984744943
age_vs_sector_median,1.110662195322793,12144,0.4191343963553531,0.46551672879133016
days_since_last_name_change,1.6394738713667285,6468,0.22323462414578588,0.3659873334713881
solvency_ratio,0.8391853197312765,8038,0.27742113619106784,0.23280774487471528
solvency_trend_3yr,0.6813559342373694,8333,0.2876026782632705,0.19595979153724025
days_since_last_office_change,1.0237265815656091,5327,0.18385449023262235,0.18821672879133014
name_change_count,1.2346219464033852,3545,0.12235107337613033,0.1510573203561814
office_change_count,1.1374542042478906,3437,0.11862359356664595,0.13492890522537446
county_enterprise_trend,0.9912961201866979,3428,0.11831297024918892,0.11728318837578519
outstanding_charge_count,1.6250020078081429,1793,0.061883067577828396,0.10056010906329813
company_type_enc,1.310405447996398,2221,0.07665493200800717,0.10044904051908607
avg_days_to_file,0.6681818066157761,3930,0.1356388486229033,0.0906314109201353
name_risk_score,0.780901897810219,2740,0.09456754331469594,0.07384797404569615
current_ratio,0.7403403950617284,2025,0.06989024642783184,0.051742572651342585
guo_irish_company_count,1.321538783269962,1052,0.03630841444053289,0.04798297784220336
same_day_reg_count,0.7732663649025069,1436,0.04956167598536619,0.03832437702767998
total_charge_events,1.1865853711790393,916,0.031614550976737765,0.03751336370539104
same_day_dissolution_count,0.6226541694024951,1523,0.05256436805411748,0.032729422930903564
sector_relative_deviation,0.6502781968721251,1087,0.03751639400842134,0.024396093048940425
nace_enc,0.7483763300760043,921,0.031787119486436116,0.023788727824946506
name_token_dissolution_count,0.7471411027568923,798,0.0275419341478567,0.020577711051287362
charge_count,1.2960871964679912,453,0.01563470697867053,0.020263943535583626
director_avg_portfolio_size,1.010881866197183,568,0.01960378270173259,0.019817108442051493
county_enterprise_density,0.7134629675810474,802,0.027679988955615378,0.019748647062883967
is_foreign_owned,1.069471875,512,0.017671015393111066,0.018898653965624356
name_token_dissolution_rate,0.7002135642135642,693,0.023917995444191344,0.01674770483882101
same_address_dissolution_count,0.7985371352785146,377,0.013011665631255609,0.01039029819838476
max_days_to_file,0.790728813559322,295,0.010181542072202664,0.008050838682957133
county_enc,0.6662880434782609,276,0.009525781735348933,0.006346914475046594
name_address_dissolution_count,1.0746638157894737,152,0.005246082694829847,0.005637775246772969
n_subsidiaries_ult,1.1098233870967742,124,0.004279699040519086,0.004749710084903706
days_since_last_charge,0.8294416666666667,108,0.003727479809484365,0.0030917270656450613
director_resignation_count,1.1964225352112676,71,0.0024504728377165736,0.0029318009249672122
employees_declining,0.9536014925373134,67,0.0023124180299578935,0.0022051252847380414
name_has_numbers,0.7024197530864198,81,0.002795609857113274,0.0019636915855594673
director_max_dissolutions,0.8847551724137932,29,0.0010008973562504314,0.0008855491129978602
revenue_cagr_3yr,0.5864722222222222,36,0.0012424932698281218,0.0007286877890522537
n_filings_yr0,0.7352166666666666,12,0.0004141644232760406,0.00030450058673293294
sector_death_birth_ratio,0.42732499999999995,4,0.0001380548077586802,5.899427072547801e-05
ar_late_count,0.45303333333333334,3,0.00010354110581901015,4.690757230620556e-05
fame_days_since_accounts,0.5845499999999999,2,6.90274038793401e-05,4.034996893766825e-05
is_corporate_owned,0.5823499999999999,2,6.90274038793401e-05,4.019810864913371e-05
name_generic_token_count,0.5045,2,6.90274038793401e-05,3.4824325257127076e-05
sector_imputed,0.5449,1,3.451370193967005e-05,1.8806516186926213e-05
sector_late_filer_risk,0.5213,1,3.451370193967005e-05,1.7991992821149997e-05
satisfied_charge_count,0.4372,1,3.451370193967005e-05,1.5089390488023746e-05
