company_num,company_name,company_status,company_type,comp_reg_date,comp_dissolved_date,last_ar_date,last_accounts_date,nace_v2_code,company_address_1,company_address_2,company_address_3,company_address_4,eircode,n_filings_yr0,n_filings_yr1,n_filings_yr2,n_filings_2022,n_filings_2023,n_filings_2024,filing_frequency,filing_rate_change,filing_decline,filing_consistency,accounts_silence_years,filed_current_year,silent_yr1,avg_days_to_file,max_days_to_file,late_filer_flag,filing_timing_deviation,late_filing_trend,filing_delay_acceleration,statutory_window_pct_used,amendment_count,format_change_flag,short_period_flag,has_annual_return,days_since_last_ar,days_since_last_accounts,ar_to_accounts_gap,is_cold_start,obs_date,company_age_years,county,nace_sector,sector_relative_deviation,age_vs_sector_median,name_risk_score,name_generic_token_count,name_has_numbers,company_type_norm,nace_enc,county_enc,company_type_enc,sector_imputed,nace_section,nace_section_label,same_day_reg_count,sector_survival_rate,sector_growth_trend,county_enterprise_density,sector_death_birth_ratio,sector_net_entry_rate,sector_death_trend,sector_1yr_survival_rate,sector_3yr_survival_rate,sector_avg_startup_employment,sector_micro_share,sector_employer_share,county_enterprise_trend,sector_birth_acceleration,sector_newborn_micro_share,sector_avg_startup_turnover,sector_cso_death_rate,legal_form_death_rate,fame_accounts_overdue,fame_ar_overdue,fame_in_worldcompliance,fame_covered,fame_days_since_accounts,director_count,director_avg_portfolio_size,director_dissolution_count,director_max_dissolutions,director_worldcompliance_flag,director_back_to_back_flag,is_corporate_owned,is_foreign_owned,guo_worldcompliance,guo_irish_company_count,n_subsidiaries_ult,solvency_ratio,current_ratio,total_assets,pl_last_yr,is_loss_making,is_insolvent,pl_declining,sol_declining,illiquid,is_net_loss,solvency_trend_3yr,roaa,ebit_margin,consecutive_loss_years,revenue_declining,revenue_declining_2yr,is_operating_loss,ebit_declining,highly_geared,has_long_term_debt,slow_creditor_payment,employees_declining,revenue_cagr_3yr,has_negative_news_mention,has_examinership_news,has_winding_up_news,has_petition_news,has_liquidation_news,has_receiver_news,has_struck_off_news,charge_count,has_floating_charge,outstanding_charge_count,satisfied_charge_count,total_charge_events,days_since_last_charge,charge_history_years,has_f8_before_obs,has_examinership_before_obs,has_winding_up_before_obs,has_voluntary_winding_up_before_obs,has_court_winding_up_before_obs,director_resignation_count,director_appointment_count,director_net_change,ar_filed_count,rejected_ar_count,days_since_last_ar_filing,total_submissions,submission_history_years,office_change_count,days_since_last_office_change,other_form_count,has_fixed_charge,charge_holder_is_bank,annual_submission_rate,sector_late_filer_risk,director_change_count,ar_late_count,total_rejected_filings,has_any_rejected,name_change_count,has_recent_director_change,days_since_last_name_change,director_disqualified_flag,label,same_address_dissolution_count,same_address_risk_flag,name_token_dissolution_count,name_token_dissolution_rate,same_day_dissolution_count,name_address_dissolution_count,shell_farm_score,director_overextension,is_on_strike_off_list,ar_filed_count_log,total_submissions_log,director_change_count_log,same_day_reg_count_log,name_token_dissolution_count_log,charge_count_log,office_change_count_log,other_form_count_log,solvency_ratio_present,current_ratio_present,roaa_present,ebit_margin_present,revenue_cagr_3yr_present,solvency_trend_3yr_present,dissolution_risk_score,dissolution_risk_tier,if_anomaly_score,if_anomaly_flag,combined_risk_score,combined_risk_tier
653915,ALTITUDE AIRCRAFT CAL I LIMITED,Normal ,LTD - Private Company Limited by Shares,2019-07-23,,2025-05-12,2024-12-31,7735.0,32 MOLESWORTH STREET,DUBLIN 2,,"DUBLIN 2, DUBLIN, IRELAND",,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,200.7,254.0,0.0,0.0,0.0,0.0,0.732,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-12-31,5.44,Dublin,6,-55.3,4.78,0.8451,0,0,LTD - PRIVATE COMPANY LIMITED BY SHARES,5,9,16,0,,Unknown,98,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,8,229.1,125,100,0,1,1,1,0,13,0,53.8,2.311,61353.583,11083.197,0,0,0,0,0,0,29.855,0.180644657704832,47.432,2.0,0,0,0,0,0,0,0,0,0.0382658526623982,0,0,0,0,0,0,0,16,0,0,16,32,2092,5.6,0,0,0,0,0,0,0,0,15,0,590,64,6.8,0,1409,6,0,0,9.4118,0.0,8,1,0,0,1,1,1980,0,0.0,109,1,7,0.0886,13,0,0,0.0,0,2.772588722239781,4.174387269895637,2.19722457733622,4.59511985013459,2.079441541679836,2.833213344056216,0.0,1.9459101490553128,1,1,1,1,1,1,0.9583,High,0.9117,1,0.935,PRIORITY
632240,NILES MARITIME 3 DESIGNATED ACTIVITY COMPANY,Normal ,DAC - Designated Activity Company (limited by shares),2018-08-17,,2025-06-11,2024-12-31,6619.0,32 MOLESWORTH STREET,DUBLIN 2,,"DUBLIN 2, DUBLIN, IRELAND",D02Y512,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,220.7,272.0,1.0,0.0,0.0,0.0,0.805,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-12-31,6.37,Dublin,6,-35.3,5.71,0.9375,0,1,DAC - DESIGNATED ACTIVITY COMPANY (LIMITED BY SHARES),5,9,4,0,,Unknown,83,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,8,220.5,138,100,1,1,1,1,0,6,1,0.014,0.734,41110.468,1.047,0,1,1,0,1,0,0.011,2.546796596915413e-05,99.846,0.0,1,0,0,1,0,0,0,0,-0.0720931400275666,0,0,0,0,0,0,0,1,0,0,1,2,1352,1.7,0,0,0,0,0,0,0,0,15,0,590,40,7.3,0,1409,4,0,0,5.4795,0.0263,9,2,0,0,10,1,1980,0,0.0,109,1,1,0.0,14,0,0,0.0,0,2.772588722239781,3.713572066704308,2.302585092994046,4.430816798843313,0.6931471805599453,0.6931471805599453,0.0,1.6094379124341005,1,1,1,1,1,1,0.9747,High,0.8359,1,0.9053,PRIORITY
707700,WAVE I FINANCE DESIGNATED ACTIVITY COMPANY,Liquidation,DAC - Designated Activity Company (limited by shares),2021-11-11,,2025-04-11,2024-12-31,6492.0,FOURTH FLOOR,3 GEORGE'S DOCK,IFSC,"DUBLIN 1, DUBLIN, Ireland",D01 X5X0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,221.7,328.0,1.0,0.0,0.0,0.0,0.809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-12-31,3.14,Dublin,6,-34.3,2.48,0.9405,0,0,DAC - DESIGNATED ACTIVITY COMPANY (LIMITED BY SHARES),5,9,4,0,,Unknown,195,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,6,37.3,90,39,0,1,0,1,1,148,0,0.006,1.255,36642.942,1.0,0,1,0,0,0,0,0.005,2.729038514429327e-05,0.015,0.0,1,0,0,0,0,0,0,0,-0.1334514953357861,0,0,0,0,0,0,0,2,0,1,1,3,2092,4.0,0,0,0,0,0,0,0,0,8,0,590,23,4.4,0,1409,2,0,0,5.2273,0.0263,6,0,0,0,2,1,1980,0,1.0,14,1,14,0.2745,0,0,0,0.0,0,2.19722457733622,3.1780538303479458,1.9459101490553128,5.278114659230517,2.70805020110221,1.0986122886681098,0.0,1.0986122886681098,1,1,1,1,1,1,1.0,High,0.8098,1,0.9049,PRIORITY
597840,GLENCAR INVESTMENTS IV DESIGNATED ACTIVITY COMPANY,Liquidation,DAC - Designated Activity Company (limited by shares),2017-02-07,,2025-07-17,2024-12-31,7735.0,KPMG,"1 Stokes Place, Saint Stephen's Green",,"Dublin 2, DUBLIN, Ireland",D02 DE03,1.0,1.0,0.0,2.0,1.0,1.0,1.333,0.0,0.0,0.3536,0.0,1.0,0.0,354.5,496.0,1.0,0.0,0.0,0.0,1.294,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,2024-12-31,7.9,Dublin,6,98.5,7.24,0.9313,0,0,DAC - DESIGNATED ACTIVITY COMPANY (LIMITED BY SHARES),5,9,4,0,,Unknown,119,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,13,150.7,177,100,0,1,0,0,0,527,0,0.033,0.047,4410.262,0.966,0,1,0,0,1,0,0.003,0.0002190346061073,0.031,0.0,0,0,0,0,0,0,0,0,0.2041088845747924,0,0,0,0,0,0,0,0,0,0,0,0,2092,0.0,0,0,0,0,0,0,0,0,23,0,590,58,9.1,2,1409,13,0,0,6.3736,0.0263,17,3,0,0,1,1,1980,0,1.0,0,0,22,0.2245,21,0,0,0.0,0,3.1780538303479458,4.07753744390572,2.8903717578961645,4.787491742782046,3.1354942159291497,0.0,1.0986122886681098,2.6390573296152584,1,1,1,1,1,1,0.9747,High,0.8344,1,0.9045,PRIORITY
701200,GLENCAR NORDIC SECURED LENDING DESIGNATED ACTIVITY COMPANY,Liquidation,DAC - Designated Activity Company (limited by shares),2021-08-05,,2025-07-07,2024-12-31,6499.0,KPMG,"1 Stokes Place, Saint Stephen's Green",DUBLIN 2,"Dublin 2, DUBLIN, Ireland",D02 DE03,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,274.7,346.0,1.0,0.0,0.0,0.0,1.003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-12-31,3.41,Dublin,6,18.7,2.75,0.9288,0,0,DAC - DESIGNATED ACTIVITY COMPANY (LIMITED BY SHARES),5,9,4,0,,Unknown,99,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,9,205.6,127,100,1,1,0,0,0,527,0,0.003,4.21,7336.798,,0,1,0,0,0,0,0.001,,0.0,0.0,0,0,0,0,0,0,0,0,1.964732742370165,0,0,0,0,0,0,0,0,0,0,0,0,2092,0.0,0,0,0,0,0,0,0,0,10,0,590,35,4.6,1,1409,7,0,0,7.6087,0.0263,12,0,0,0,3,1,1980,0,1.0,0,0,22,0.2245,3,0,0,0.0,0,2.3978952727983707,3.58351893845611,2.5649493574615367,4.605170185988092,3.1354942159291497,0.0,0.6931471805599453,2.079441541679836,1,1,0,1,1,1,0.9674,High,0.8155,1,0.8915,PRIORITY
758835,TAMARA CAPITAL UAE DESIGNATED ACTIVITY COMPANY,Normal ,DAC - Designated Activity Company (limited by shares),2024-02-29,,2025-07-22,2024-12-31,6499.0,"5th Floor, The Exchange",George's Dock,IFSC,"Dublin, Dublin 1, Ireland",D01 W3P9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.4142,2.0,1.0,0.0,203.0,203.0,0.0,0.0,0.0,0.0,0.741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-12-31,0.84,Dublin,6,-53.0,0.18,0.9378,0,0,DAC - DESIGNATED ACTIVITY COMPANY (LIMITED BY SHARES),5,9,4,0,,Unknown,135,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,4,258.2,9,9,1,1,1,1,0,244,0,0.002,19.013,40789.152,1.0,0,1,0,0,0,0,,2.451632237904823e-05,85.066,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,0,4,0,4,210,0.0,0,0,0,0,0,0,0,0,5,0,590,15,2.0,0,1409,4,0,0,7.5,0.0,2,0,0,0,0,1,1980,0,0.0,0,0,2,0.3333,0,0,0,0.0,0,1.791759469228055,2.772588722239781,1.0986122886681098,4.912654885736052,1.0986122886681098,1.6094379124341005,0.0,1.6094379124341005,1,1,1,1,0,0,0.8788,High,0.9013,1,0.89,PRIORITY
628624,SKY VOYAGER AVIATION TRADING IV DESIGNATED ACTIVITY COMPANY,Liquidation,DAC - Designated Activity Company (limited by shares),2018-06-15,,2025-07-01,2024-12-31,7735.0,32 MOLESWORTH STREET,DUBLIN 2,,"DUBLIN 2, DUBLIN, Ireland",D02Y512,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,187.7,191.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-12-31,6.55,Dublin,6,-68.3,5.89,0.9207,0,0,DAC - DESIGNATED ACTIVITY COMPANY (LIMITED BY SHARES),5,9,4,0,,Unknown,112,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,5,359.8,149,100,0,1,0,0,0,527,0,0.0,0.045,58366.227,128.631,0,1,0,0,1,0,0.226,0.0022038601193118,77.852,0.0,1,0,0,1,0,0,0,0,-0.0632258959518776,0,0,0,0,0,0,0,9,0,3,6,15,2092,6.9,0,0,0,0,0,0,0,0,19,0,590,49,7.7,0,1409,5,0,0,6.3636,0.0,5,2,0,0,3,1,1980,0,1.0,109,1,97,0.3191,27,0,0,0.0,0,2.995732273553991,3.912023005428146,1.791759469228055,4.727387818712341,4.584967478670572,2.302585092994046,0.0,1.791759469228055,1,1,1,1,1,1,0.8566,High,0.9135,1,0.885,PRIORITY
628625,SKY VOYAGER AVIATION TRADING III DESIGNATED ACTIVITY COMPANY,Liquidation,DAC - Designated Activity Company (limited by shares),2018-06-15,,2025-07-01,2024-12-31,7735.0,32 MOLESWORTH STREET,DUBLIN 2,,"DUBLIN 2, DUBLIN, Ireland",D02Y512,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,187.7,191.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-12-31,6.55,Dublin,6,-68.3,5.89,0.9207,0,0,DAC - DESIGNATED ACTIVITY COMPANY (LIMITED BY SHARES),5,9,4,0,,Unknown,112,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,5,359.8,149,100,0,1,0,0,0,527,0,0.0,0.026,57877.619,31.137,0,1,0,0,1,0,0.067,0.0005379799746081,,0.0,1,1,0,0,0,0,0,0,-0.3866270942956533,0,0,0,0,0,0,0,9,0,3,6,15,2092,6.9,0,0,0,0,0,0,0,0,19,0,590,49,7.7,0,1409,5,0,0,6.3636,0.0,5,2,0,0,3,1,1980,0,1.0,109,1,97,0.3191,27,0,0,0.0,0,2.995732273553991,3.912023005428146,1.791759469228055,4.727387818712341,4.584967478670572,2.302585092994046,0.0,1.791759469228055,1,1,1,0,1,1,0.8566,High,0.9135,1,0.885,PRIORITY
730425,WAVE III FINANCE DESIGNATED ACTIVITY COMPANY,Normal ,DAC - Designated Activity Company (limited by shares),2022-11-29,,2025-04-11,2024-12-31,6492.0,FOURTH FLOOR,3 GEORGE'S DOCK,IFSC,"DUBLIN 1, DUBLIN, Ireland",D01 X5X0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.4142,2.0,1.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-12-31,2.09,Dublin,6,-152.0,1.43,0.9405,0,0,DAC - DESIGNATED ACTIVITY COMPANY (LIMITED BY SHARES),5,9,4,0,,Unknown,70,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,3,64.7,53,39,0,1,0,1,1,148,0,0.001,1.235,154910.198,0.966,0,1,0,0,0,0,,6.235870926974091e-06,0.003,0.0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,0,4,0,4,2092,3.0,0,0,0,0,0,0,0,0,6,0,590,14,3.3,0,1409,4,0,0,4.2424,0.0,0,0,0,0,0,0,1980,0,0.0,14,1,14,0.2745,0,0,0,0.0,0,1.9459101490553128,2.70805020110221,0.0,4.262679877041316,2.70805020110221,1.6094379124341005,0.0,1.6094379124341005,1,1,1,1,0,0,0.9674,High,0.7959,1,0.8817,PRIORITY
723443,GLENCAR INVESTMENTS 44 DESIGNATED ACTIVITY COMPANY,Liquidation,DAC - Designated Activity Company (limited by shares),2022-07-28,,2025-07-16,2024-12-31,6619.0,KPMG,"1 Stokes Place, Saint Stephen's Green",,"Dublin 2, DUBLIN, Ireland",D02 DE03,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.4142,2.0,1.0,0.0,197.0,197.0,0.0,0.0,0.0,0.0,0.719,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-12-31,2.43,Dublin,6,-59.0,1.77,0.9313,0,1,DAC - DESIGNATED ACTIVITY COMPANY (LIMITED BY SHARES),5,9,4,0,,Unknown,91,1.0,0,0.340864,0.0263,0.9737,0,0.4195,0.3838,0.52,0.2987,0.7013,-0.0493,-0.0904,0.9523,0.0,0.07,0.002683,0.0,0.0,0.0,1.0,0,5,352.0,121,100,0,1,0,0,0,527,0,0.005,0.312,15473.011,0.827,0,1,0,0,1,0,,5.344790357868937e-05,0.035,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2092,0.0,0,0,0,0,0,0,0,0,7,0,590,19,3.3,1,1409,3,0,0,5.7576,0.0,5,0,0,0,1,1,1980,0,1.0,0,0,22,0.2245,0,0,0,0.0,0,2.079441541679836,2.995732273553991,1.791759469228055,4.5217885770490405,3.1354942159291497,0.0,0.6931471805599453,1.3862943611198906,1,1,1,1,0,0,0.9674,High,0.7737,1,0.8706,PRIORITY
